date,likes,retweets,text,verified,Sentiment Label
2021-05-15 03:24:09,0.0,0.0,Fml. My brother has tested positive for covid :( Gonna go get tested tomorrow. I haven’t come in contact with him r… https://t.co/v9lQdxGu1d,0.0,0
2021-05-15 03:20:22,0.0,0.0,"@heyhandsomewill lol covid dolls, they wont kiss back tho :(",0.0,0
2021-05-15 03:20:00,0.0,0.0,"I wonder how many face masks have ended up in the ocean since covid, poor turtles :(",0.0,0
2021-05-15 03:16:19,0.0,0.0,@CDCgov @POTUS @VP my family members in the US are FRONTLINE HEALTH CARE WORKERS who have gotten COVID-19 because o… https://t.co/hCUQFkANGW,0.0,0
2021-05-15 03:03:18,0.0,0.0,It's not that we don't feel terrible when someone loses a close one to #Covid. But the sheer number of deaths is ov… https://t.co/2v8cQi8DO2,0.0,0
2021-05-15 03:00:45,1.0,0.0,@momrrysmilfs omggg you got the vaccine yaaaay i haven't :( well i hope you feel better heheh try to sleep maybe you feel better idk lol,0.0,0
2021-05-15 02:39:01,0.0,0.0,@IOHK_Charles @elonmusk The donkeys are my absolute mood looking at the covid cases in India :(,0.0,0
2021-05-15 02:36:59,1.0,0.0,@ridethepuma @jarjarjacobs I know I can’t wait till I can go back I’m gonna actually cry. Unfortunately my favorite… https://t.co/EIFQZNCPNg,0.0,0
2021-05-15 02:26:19,0.0,0.0,"my second vaccine made my arm really sore :( im fine otherwise
id say dizziness and sleepiness were a side effect b… https://t.co/z1HRavWvUz",0.0,0
2021-05-15 02:16:23,0.0,0.0,"@lauvsongs FINALLY, I was robbed of my August 2020 show :( fuck COVID",0.0,0
2021-05-15 02:16:20,173.0,68.0,"My Dear friend Rakesh Negi (Founder @AAPExpress ) is no More.

He passed away of COVID and severe pneumonia.

Huge… https://t.co/H3QxXq7Hst",0.0,0
2021-05-15 02:11:12,1.0,0.0,"i can be your vaccine..

bruh :( how to get bf like mork :(",0.0,0
2021-05-15 02:08:32,0.0,0.0,"i can’t wait to be at concerts again. i’m still waiting to see circa survive, since their 10th anniv tour of my fav… https://t.co/KeN0t1fPhu",0.0,0
2021-05-15 02:02:08,0.0,0.0,"If you know Covid-19 survivors who are willing to be interviewed, please please tell me :(((( I’m looking sana for… https://t.co/kxj2NqjE2H",0.0,0
2021-05-15 01:59:21,0.0,0.0,Dear #yqr twitter: where does your guy get a vaccine? Places seem to be booked up :(,0.0,0
2021-05-15 01:57:22,0.0,0.0,@vnzndt today i finished my last set of math diagnostics anddd was going to get the covid vaccine but they were clo… https://t.co/4nBCCj7OhT,0.0,0
2021-05-15 01:46:32,0.0,0.0,"I woke up to the news na ma lockdown ang Maasin. Lord please, we went from covid-free free to this. We are a small… https://t.co/vqhsZ7GwfG",0.0,0
2021-05-15 01:33:07,1.0,0.0,i hope he never once thinks i’m not in love with him because we’re both on day two of our second pfizer and my sore… https://t.co/HQeAmF1eBT,0.0,0
2021-05-15 01:31:26,0.0,0.0,my mom got her first covid vax today and she's having a pretty...awkward..? reaction to it :( she has quite a few o… https://t.co/qQBHZhdQYF,0.0,0
2021-05-15 01:23:15,3.0,0.0,my mom doesn’t want me to get the vaccine yet :(,0.0,0
2021-05-15 01:21:11,18.0,0.0,"Y'all the second dose of the vaccine has me feeling so bad :(
I'm glad I took today off because I'd heard people we… https://t.co/iowQVI3c5Z",0.0,0
2021-05-15 01:20:25,1.0,0.0,@wilbertheghost i havent been since pre covid times and i was sooo excited to go now that my family is vaxed but :(((,0.0,0
2021-05-15 01:16:54,0.0,0.0,#BBMAsTopSocial  @BTS_twt  tomorrow it’s gonna be a week since i got the symptoms of covid :(,0.0,0
2021-05-15 01:13:09,2.0,0.0,@imscreamign its not about meee getting covid its abt who i could possibly still spread it to! i would feel way way… https://t.co/SJAMVMsxWX,0.0,0
2021-05-15 01:11:32,0.0,0.0,@bluesganscy wait omg did u get covid :(,0.0,0
2021-05-15 01:00:41,5.0,0.0,"COVID has snatched another dear colleague last night. 
#SudhirShaw One more wonderful colleague gone :(  Will miss… https://t.co/fhaNDLw9rH",0.0,0
2021-05-15 00:46:10,37.0,0.0,"@valkyfaerie But rae is getting her vaccine shot this weekend, I hope she feels okay to play but she might not feel good too you know. :(",0.0,0
2021-05-15 00:44:16,0.0,0.0,@taetoetiddies I haven't gotten vaccine here :((,0.0,0
2021-05-15 00:31:52,0.0,0.0,I’m sad :(( the headliner for Summerlands at UCI is Dominic Fike BUT ITS A VIRTUAL CONCERT I hate people and covid,0.0,0
2021-05-15 00:31:20,2.0,0.0,Covid roadmap turns out to be a smart motorway :(,0.0,0
2021-05-15 00:28:18,0.0,0.0,numbers for covid are going to spike again :/ especially here in FL :/ everyone is taking away their mask mandates… https://t.co/kDVlbTlnDF,0.0,0
2021-05-15 00:17:33,2.0,0.0,@DHinskey @steadwell_jr @PunzieSfw @DiegoDavidReyna And she can’t even travel abroad to drink because of COVID. :(,0.0,0
2021-05-15 00:14:55,1.0,0.0,@mersxcloud Oh noo :( im so sorry fuck covid,0.0,0
2021-05-15 00:13:47,0.0,0.0,@AOHonolulu @thegoalkeeper That was my guess :-( I asked the lady at Legends in Waikiki and she said she usually wo… https://t.co/cQg2fT9qqZ,0.0,0
2021-05-15 00:02:58,1.0,0.0,The second vaccine shot really hit me hard :(,0.0,0
2021-05-15 00:01:46,1.0,0.0,@gogyisnotonfire its so hard seeing it esp when so often recently ive been directly affected by those types of comm… https://t.co/0d6bB9Mv58,0.0,0
2021-05-15 00:01:22,1.0,0.0,i just finished my second dose of the vaccine and i has a pretty bad reaction to it :( ive been so sick today i cou… https://t.co/hlMjkvP5OY,0.0,0
2021-05-15 00:00:38,3.0,0.0,guys i think i have covid :(,0.0,0
2021-05-14 23:59:59,1.0,0.0,@bonkresting i will fight the vaccine if it makes you feel sick &gt;:(((( grr,0.0,0
2021-05-14 23:40:00,2.0,0.0,@jessyx09 she got covid :(,0.0,0
2021-05-14 23:38:20,1.0,0.0,@DiscourseDancer @notyourdalit I think one important way to prevent this is to have grassroots reach. Address covid… https://t.co/xGrcvWKnE3,0.0,0
2021-05-14 23:35:50,1.0,0.0,"@milkshhhhhake Dude that suck so hard, I'm really sorry you had to quarantine :(
But at least you're getting anothe… https://t.co/yOSZpjIH8c",0.0,0
